,price,symbol
0,176.8,PALL
1,27.14,CTVA#
2,25.0,UMH-D
3,23.825,WNRL
4,21.77,GHM
5,2.415,ASLN
6,5.39,BIOX
7,10.83,BHAC
8,32.935,HEES
9,2.86,USAS
10,35.53,THC
11,67.3,AMSF
12,25.075,TTGT
13,24.44,TRTY
14,25.615,BOCT
15,16.69,CC
16,68.66,RZV
17,11.135,ACP
18,9.93,THCB
19,22.08,SBRA
20,6.73,SOHO
21,19.845,TYPE
22,93.64,VLO
23,26.18,IBMK
24,28.3,CAJ
25,9.96,HYAC
26,43.815,CSCO
27,112.58,DOV
28,52.13,HIG+
29,1.895,CYCN
30,16.04,EFBI
31,51.58,HYXE
32,1.325,ATHX
33,11.71,BOCH
34,23.84,PUW
35,22.55,CLNY-J
36,0.131,ESTRW
37,1.175,ECR
38,15.26,MNR
39,31.69,RXN
40,0.32,GPAQW
41,21.15,WDRW
42,23.61,IESC
43,66.495,WBMD
44,23.13,SCE-E
45,134.925,VBR
46,11.57,GRBK
47,18.18,TGE
48,20.39,DSLV
49,3.2,TAIT
50,33.31,CBND
51,2.595,OGI
52,14.79,HVBC
53,344.78,NOC
54,38.58,WMS
55,25.89,ALLY-A
56,16.645,AXGN
57,32.91,EWU
58,241.99,RH
59,5.46,CLXT
60,27.53,CHSCO
61,40.475,YNDX
62,22.975,MLVF
63,24.2,TNP-D
64,17.64,KE
65,123.08,VOOV
66,47.06,KWEB
67,1.61,OASM
68,34.74,PXR
69,17.275,LILAK
70,12.47,OSBC
71,169.98,ADP
72,25.16,CTV
73,3.84,RYAM
74,85.33,QLYS
75,74.97,TSRO
76,4.485,KDMN
77,49.055,SHM
78,19.83,LASR
79,2.675,BCRX
80,24.155,DWSH
81,10.715,JRS
82,0.1002,ESNC
83,11.335,INXX
84,10.175,ALGR
85,2.65,NES
86,4.03,MAGS
87,25.64,FLQH
88,1.46,WTT
89,0.9897,UEC
90,49.335,VTIP
91,1.92,EASTW
92,10.06,ZYXI
93,28.2,KEY-I
94,0.5406,EKSO
95,9.8,CBH
96,53.065,FDHY
97,74.575,EMSH
98,27.895,ATLO
99,14.595,NAD
100,25.87,SOHOB
101,5.865,ENOB
102,0.16,RAS
103,711.5,ATRI
104,22.75,GS-D
105,0.43,LLIT
106,44.89,DRQ
107,3.08,PRTH
108,5.68,NRO
109,10.25,SPLS
110,21.77,KBWD
111,11.045,LXP
112,26.47,OSB
113,12.475,PFLT
114,26.355,AMH
115,34.34,SCIU
116,13.92,ESRT
117,18.015,UNG
118,8.395,PSO
119,25.745,TBT
120,93.12,ETN
121,26.79,HNGR
122,0.282,CHEKZ
123,29.08,CPS
124,17.82,MELR
125,21.44,STBZ
126,13.045,REVG
127,0.8516,ASCMA
128,14.15,NYRT
129,7.765,LCM
130,25.305,COF-P
131,88.11,TMK
132,0.225,TACOW
133,26.41,NYCB-A
134,18.36,MDIV
135,15.63,PQG
136,26.26,LSAF
137,55.33,MTX
138,22.125,HPI
139,25.26,JPM-F
140,27.44,BKCH
141,2.0,CTACW
142,25.6,BSAE
143,6.03,TKC
144,59.835,EIDX
145,0.2932,TRIL
146,46.81,ZGNX
147,11.73,SFE
148,28.1,SMPL
149,36.7,NTRA
150,30.23,SUN
151,4.02,SNOA
152,22.05,GNRX
153,2.73,RCMT
154,3.435,LXU
155,86.265,EXAS
156,24.65,LOUP
157,48.78,PNM
158,10.53,BRPA
159,54.65,BANR
160,67.89,TNA
161,50.945,HFC
162,25.0,GECCL
163,18.92,MRNA
164,8.625,AOD
165,26.465,PICB
166,1.145,MUX
167,66.5,MOO
168,15.85,BWL.A
169,26.06,FRC-I
170,21.815,LHO-J
171,0.4301,ROSEW
172,25.365,TWO-E
173,65.82,RWCD
174,97.63,PWC
175,0.688,TEAR
176,1.27,AIRI
177,40.96,HSRT
178,0.2524,IZEA
179,18.245,GBDC
180,15.015,ORAN
181,15.31,CULP
182,61.93,PPH
183,0.534,FGP
184,13.715,NNC
185,51.57,SGBK
186,66.05,WELL-I
187,25.96,RSO-C
188,78.17,VDE
189,24.66,FLGB
190,19.26,EC
191,2.82,RJN
192,1.32,CORV
193,4.495,CO
194,25.57,FHN-A
195,0.26,ATNM
196,26.19,ABR-A
197,1.505,GERN
198,15.305,HYI
199,14.69,BOTJ
200,0.2963,GEMP
201,11.74,EDI
202,0.7501,VRML
203,112.11,ATR
204,9.93,RPLA
205,0.53,THM
206,19.23,GOF
207,280.14,ASML
208,12.4,MIW
209,10.46,KOL
210,3.91,HWCC
211,20.63,MSC
212,8.11,ASUR
213,23.875,BSJJ
214,5.12,MPO
215,2.5,GIGM
216,16.5,MCI
217,81.095,XLI
218,20.93,MMD
219,3.79,LEAF
220,15.075,SOYB
221,3.495,LTS
222,72.48,EMCB
223,50.29,TFLO
224,0.87,LITB
225,0.75,PVT+
226,91.4,PLD
227,107.66,CRED
228,7.61,CLS
229,27.165,NUGT
230,10.58,MOSC=
231,10.69,XFOR
232,44.23,ALD
233,25.99,VIA
234,3.635,SRCI
235,37.84,BAL
236,64.29,CUB
237,10.575,QUOT
238,6.875,EYEG
239,0.5025,SINO
240,1.765,CBAY
241,6.52,MFV
242,10.69,PACQU
243,22.555,SABR
244,0.9631,SCYX
245,12.2,SY
246,17.325,DMLP
247,49.48,IBA
248,0.083,PAVMW
249,25.19,VR-A
250,25.85,TCBIL
251,8.82,LBF
252,5.63,MLPY
253,22.53,BCML
254,122.96,ALLE
255,24.29,EWS
256,25.21,STAR-I
257,10.525,FRTA
258,89.875,BBRE
259,46.78,NTR
260,43.35,EEMS
261,30.39,GSEU
262,22.82,SCTO
263,28.715,GNTX
264,151.91,CLX
265,0.19,CMSSW
266,131.73,IR
267,3.435,OAKS
268,77.15,EVR
269,29.525,BMCH
270,12.125,SPOK
271,28.19,JVAL
272,183.845,JKJ
273,0.98,BVXVW
274,1.28,MARA
275,48.6,JW.A
276,91.61,SDYL
277,1.74,TUES
